nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 93 93 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 94 94 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 94 94 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 346440 0 1890264 1LVBQ 94 94 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 97 97 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 97 97 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 97 97 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 346435 0 2040375 2LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 89 89 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 89 89 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 91 91 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 90 90 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 88 88 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 88 88 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 376482 0 157794 3LVBQ 88 88 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 128 128 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 128 128 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 128 128 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 128 128 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 127 127 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 127 127 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 128 128 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 127 127 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 127 127 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 578128 578128 0 76434 4LVBQ 127 127 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 97 97 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 96 96 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 95 95 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 366731 366731 0 160428 5LVBQ 97 97 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 110 110 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 110 110 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 109 109 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346544 346544 0 270445 6LVBQ 108 108 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 67 67 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 67 67 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 65 65 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 65 65 0 0 0 0 0 0 0 0 0
