nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
BAY 321270 800172 94305 2LVBQ 103 103 3562649 1775949 149370 451228738 1124920364 46100 0 70032 165679291 1312050
BAY 321270 800172 94305 3LVBQ 97 97 2625989 1613661 145311 425363813 1033463965 42794 0 70032 140724955 934932
BAY 321270 800172 94305 3LVBQ 97 97 2635012 1621805 143825 425392691 1033469063 42554 0 70032 140726423 933232
BAY 321270 800172 94305 3LVBQ 97 97 2618664 1616087 142763 425397032 1033467164 42741 0 70032 140725909 932902
BAY 321270 800172 94305 3LVBQ 97 97 2648694 1619408 146603 424875630 1033467133 42984 0 70032 140725978 932908
BAY 321270 800172 94305 3LVBQ 97 97 2662948 1621760 144446 426170549 1033469628 43209 0 70032 140726541 933995
BAY 321270 800172 94305 3LVBQ 97 97 2664565 1622627 145631 425302375 1033470591 43158 0 70032 140726694 933038
BAY 321270 800172 94305 3LVBQ 96 96 2657704 1614232 143570 422974248 1033471829 42451 0 70032 140727098 932859
BAY 321270 800172 94305 3LVBQ 96 96 2639319 1610020 143007 423950917 1033472668 42367 0 70032 140727311 933057
BAY 321270 800172 94305 3LVBQ 96 96 2627738 1616162 143075 425412685 1033470586 41840 0 70032 140726898 931590
BAY 321270 800172 94305 3LVBQ 97 97 2621214 1610363 148935 426774431 1033469293 41728 0 70032 140726444 932975
BAY 321270 800172 94305 4LVBQ 139 139 3898353 1786003 150144 605411744 1552926533 46418 383 70032 210555764 1187742
BAY 321270 800172 94305 4LVBQ 139 139 3888158 1775587 149572 604353542 1552945541 46210 526 70032 210560439 1186216
BAY 321270 800172 94305 4LVBQ 138 138 3863283 1757674 149686 601390261 1552942114 47331 627 70032 210559828 1187192
BAY 321270 800172 94305 4LVBQ 138 138 3882665 1793482 150155 600249334 1552933335 45394 0 70032 210557191 1188242
BAY 321270 800172 94305 4LVBQ 138 138 4035362 1827787 146184 602751286 1552944026 49581 0 70032 210559563 1188537
BAY 321270 800172 94305 4LVBQ 138 138 3928511 1802831 146843 603102279 1552941244 46704 0 70032 210558708 1186196
BAY 321270 800172 94305 4LVBQ 137 137 3924559 1792854 146611 598698631 1552939132 48153 0 70032 210558394 1186908
BAY 321270 800172 94305 4LVBQ 139 139 3901074 1800558 147323 604874767 1552944550 46142 0 70032 210559655 1187989
BAY 321270 800172 94305 4LVBQ 138 138 3898874 1796046 150294 603009385 1552944419 48381 0 70032 210559486 1185982
BAY 321270 800172 94305 4LVBQ 138 138 3985528 1822041 147151 601271888 1552937706 45218 0 70032 210558089 1187644
BAY 321270 800172 94305 5LVBQ 102 102 2446330 1588806 144407 449678769 1114509868 42571 0 70032 148209859 943104
BAY 321270 800172 94305 5LVBQ 103 103 2412879 1574900 149565 450376325 1114511128 42480 0 70032 148210234 939698
BAY 321270 800172 94305 5LVBQ 102 102 2416774 1569892 144741 446562286 1114506051 42613 0 70032 148209085 933232
BAY 321270 800172 94305 5LVBQ 103 103 2451207 1586374 145755 450165601 1114508848 41690 0 70032 148209727 933320
BAY 321270 800172 94305 5LVBQ 102 102 2420758 1572280 145552 448227090 1114508905 43579 0 70032 148209583 933557
BAY 321270 800172 94305 5LVBQ 102 102 2437029 1585381 146200 447872512 1114511018 42336 0 70032 148210202 933689
BAY 321270 800172 94305 5LVBQ 102 102 2438568 1579889 147156 446947525 1114512124 45415 0 70032 148210543 933547
BAY 321270 800172 94305 5LVBQ 102 102 2419938 1574403 146011 448565857 1114509999 41813 0 70032 148210165 932986
BAY 321270 800172 94305 5LVBQ 102 102 2438458 1579435 143867 447799276 1114512181 43625 0 70032 148210749 934289
BAY 321270 800172 94305 5LVBQ 103 103 2450935 1590882 149702 449824701 1114509109 41716 0 70032 148209967 933203
BAY 321270 800172 94305 6LVBQ 114 114 2447145 1543783 148268 500093013 1287124096 42709 0 70032 166954935 981242
BAY 321270 800172 94305 6LVBQ 114 114 2490387 1563997 147286 498479927 1287127200 41786 0 70032 166955696 978068
BAY 321270 800172 94305 6LVBQ 114 114 2466359 1548590 145031 497477112 1287126179 43464 0 70032 166955382 979364
BAY 321270 800172 94305 6LVBQ 114 114 2446036 1544744 145583 497102800 1287125970 42893 0 70032 166955433 977754
BAY 321270 800172 94305 6LVBQ 114 114 2440326 1542733 151485 497854239 1287123628 43231 0 70032 166954863 986431
