nome n m c fila run l1 l2 llc cycles
FLA 1070376 2712798 214013 1LVBQ 446 17474029 14222211 824594 1256234567
FLA 1070376 2712798 214013 1LVBQ 443 17476238 14193795 823229 1250972345
FLA 1070376 2712798 214013 1LVBQ 443 17461827 14196345 824483 1249015876
FLA 1070376 2712798 214013 1LVBQ 441 17464618 14159589 820306 1245165087
FLA 1070376 2712798 214013 1LVBQ 443 17469882 14242038 813748 1250089002
FLA 1070376 2712798 214013 2LVBQ 386 11699757 6623901 454690 1131346171
FLA 1070376 2712798 214013 2LVBQ 390 11652053 6593551 452048 1137573612
FLA 1070376 2712798 214013 2LVBQ 389 11581084 6504818 453347 1132837245
FLA 1070376 2712798 214013 2LVBQ 388 11724957 6669412 451496 1135137798
FLA 1070376 2712798 214013 2LVBQ 391 11628074 6579997 457021 1139942283
FLA 1070376 2712798 214013 2LVBQ 390 11705935 6641415 461076 1141759050
FLA 1070376 2712798 214013 2LVBQ 389 11679531 6607521 458986 1135460529
FLA 1070376 2712798 214013 2LVBQ 393 11607241 6572013 459098 1141165687
FLA 1070376 2712798 214013 2LVBQ 390 11731692 6688596 458881 1139811523
FLA 1070376 2712798 214013 2LVBQ 389 11697426 6621886 458562 1137215152
FLA 1070376 2712798 214013 BINH 502 6987420 4832365 421970 1487686637
FLA 1070376 2712798 214013 BINH 500 6963535 4766751 426777 1480403797
FLA 1070376 2712798 214013 BINH 500 6839579 4645877 424623 1476298728
FLA 1070376 2712798 214013 BINH 502 6837336 4656973 422602 1481259031
FLA 1070376 2712798 214013 BINH 505 6858331 4706235 422746 1487154267
FLA 1070376 2712798 214013 BINH 504 6855856 4671721 426757 1485108396
FLA 1070376 2712798 214013 BINH 502 6852175 4680882 422115 1480824722
FLA 1070376 2712798 214013 BINH 503 6859571 4677414 422459 1485232261
FLA 1070376 2712798 214013 BINH 505 6847733 4718898 422284 1489054685
FLA 1070376 2712798 214013 BINH 502 6859903 4652396 427686 1481871755
FLA 1070376 2712798 214013 4AH 485 6852161 4691656 423373 1428154059
FLA 1070376 2712798 214013 4AH 490 6814262 4749422 421580 1439388094
FLA 1070376 2712798 214013 4AH 486 6833780 4722077 420651 1429685002
FLA 1070376 2712798 214013 4AH 483 6841628 4646276 423436 1422885434
FLA 1070376 2712798 214013 4AH 481 6844154 4660779 420480 1418687140
FLA 1070376 2712798 214013 4AH 483 6867304 4654822 421310 1422616790
FLA 1070376 2712798 214013 4AH 486 6827251 4686990 423298 1429231205
FLA 1070376 2712798 214013 4AH 481 6853064 4656479 421354 1417055735
FLA 1070376 2712798 214013 4AH 481 6829021 4664044 419498 1417804004
FLA 1070376 2712798 214013 4AH 482 6894421 4665056 420829 1420273743
FLA 1070376 2712798 214013 RH 871 7457215 4883935 433427 2599330932
FLA 1070376 2712798 214013 RH 872 7471689 4885021 434982 2600180906
FLA 1070376 2712798 214013 RH 873 7333633 4757509 432897 2599142972
FLA 1070376 2712798 214013 RH 871 7491325 4874293 432590 2600519925
FLA 1070376 2712798 214013 RH 872 7462656 4875493 435135 2601425209
FLA 1070376 2712798 214013 RH 873 7475376 4876436 432771 2604740234
FLA 1070376 2712798 214013 RH 871 7454879 4864141 437939 2597466087
FLA 1070376 2712798 214013 RH 871 7487678 4885686 433040 2600839230
FLA 1070376 2712798 214013 RH 870 7457010 4860007 433808 2597035609
FLA 1070376 2712798 214013 RH 872 7473332 4884315 433680 2604182890
FLA 1070376 2712798 214013 FIB 1023 6819391 4688348 443965 3055447255
FLA 1070376 2712798 214013 FIB 1024 6811636 4689589 444637 3059894124
FLA 1070376 2712798 214013 FIB 1023 6823572 4692644 443632 3058233725
FLA 1070376 2712798 214013 FIB 1025 6822373 4691418 445318 3061832645
FLA 1070376 2712798 214013 FIB 1023 6842483 4708880 448213 3058254423
FLA 1070376 2712798 214013 FIB 1023 6825337 4694820 445949 3059312739
FLA 1070376 2712798 214013 FIB 1022 6827060 4701099 442641 3052924258
FLA 1070376 2712798 214013 FIB 1022 6825360 4694313 446197 3053794598
FLA 1070376 2712798 214013 FIB 1020 6830740 4700732 439051 3048295134
