nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM4 100000 500000 10000 146887 146887 0 32475 2LVBQ 37 37 108016620 1708018 491622 80012 85028488 210542505 40216 0 42510133 189001
MEM4 100000 500000 10000 146976 146976 0 33077 2LVBQ 37 37 104901158 1708923 490691 74178 89093260 221891429 38677 0 41990460 193380
MEM4 100000 500000 10000 146803 146803 0 32989 2LVBQ 37 37 107947059 1710733 505274 77644 94728403 226459955 42813 0 42511379 195886
MEM4 100000 500000 10000 146375 146375 0 33274 2LVBQ 37 37 107576852 1709623 488979 80231 89796906 225960876 39402 0 42372242 193514
MEM4 100000 500000 10000 147051 147051 0 32870 2LVBQ 37 37 107937699 1720061 489341 75594 85927363 214684515 40735 0 42297658 186806
MEM4 100000 500000 10000 147021 147021 0 33633 2LVBQ 37 37 106347876 1687127 507596 74881 91371537 224586562 41603 0 42431385 193905
MEM4 100000 500000 10000 146808 146808 0 32702 2LVBQ 39 39 108457365 1724582 493719 86855 95050603 231135406 41034 0 42629081 197831
MEM4 100000 500000 10000 146668 146668 0 33401 2LVBQ 37 37 107710602 1711196 490439 77297 86073467 213020394 38432 0 42134668 184326
MEM4 100000 500000 10000 148005 148005 0 2602 3LVBQ 42 42 131483131 1591596 488333 82936 106908945 291927250 40917 0 49058254 185253
MEM4 100000 500000 10000 147740 147740 0 2645 3LVBQ 42 42 132210977 1567454 480434 80306 106644326 278469031 40630 0 47714935 189110
MEM4 100000 500000 10000 147762 147762 0 2713 3LVBQ 42 42 131030507 1580748 477024 86619 103270965 272311624 40881 0 47280889 183293
MEM4 100000 500000 10000 148180 148180 0 2688 3LVBQ 44 44 134288076 1600981 505677 100743 105960553 272033791 40680 0 48212971 184825
MEM4 100000 500000 10000 147615 147615 0 2650 3LVBQ 41 41 131244140 1613838 471980 79476 101586611 274108041 39315 0 47557415 175616
MEM4 100000 500000 10000 147564 147564 0 2552 3LVBQ 42 42 132222299 1606133 495532 77109 94628490 257912838 36843 0 48117918 181379
MEM4 100000 500000 10000 147817 147817 0 2688 3LVBQ 41 41 135226268 1617507 487831 76919 95602274 261874970 35405 0 48268013 190714
MEM4 100000 500000 10000 148047 148047 0 2572 3LVBQ 41 41 135615641 1598739 470673 77157 102813796 284683908 39515 0 48802945 186067
MEM4 100000 500000 10000 148245 148245 0 2664 3LVBQ 42 42 129393656 1563619 474693 74111 105859749 287231754 40021 0 48301661 180716
MEM4 100000 500000 10000 147679 147679 0 2621 3LVBQ 52 52 131870929 1595719 520715 151908 118825786 267960089 44407 0 47445670 181165
MEM4 100000 500000 10000 151165 151165 0 3023 4LVBQ 47 47 152478822 1635646 479767 84249 117684324 327917162 43142 140 55327918 208971
MEM4 100000 500000 10000 151843 151843 0 2885 4LVBQ 47 47 156064641 1680171 488227 79436 114264489 323969410 39433 103 55050800 227653
MEM4 100000 500000 10000 152216 152216 0 2907 4LVBQ 47 47 152156921 1697043 501658 81672 109914245 312807675 37195 278 54440159 203219
MEM4 100000 500000 10000 151665 151665 0 2884 4LVBQ 49 49 157813053 1650671 482514 82718 119806352 325638978 44296 882 56102427 214108
