nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 264346 264346 34709 0 0 FIBH 132 132 453244364 3289542 281421 132430 340842233 692045172 18283 0 95103505 2364931
NY 264346 733846 36946 264346 264346 35167 0 0 FIBH 133 133 459619740 3492579 266363 117169 340908521 696811724 17081 0 96300108 2430112
NY 264346 733846 36946 264346 264346 34759 0 0 FIBH 132 132 447319462 2796085 286990 134734 340659473 685259092 16986 0 94383536 2420542
NY 264346 733846 36946 264346 264346 34637 0 0 FIBH 137 137 461322278 3296968 312384 148135 345681018 686949088 19439 0 95438923 2398802
NY 264346 733846 36946 264346 264346 34427 0 0 FIBH 140 140 470586285 3623910 324304 157357 362717154 712327404 26937 0 97361791 2510821
NY 264346 733846 36946 264346 264346 33458 0 0 FIBH 132 132 456467236 3448244 252592 110904 340616260 693939208 16734 0 95036490 2371848
BAY 321270 800172 94305 346575 346575 0 2097447 0 1LVBQ 79 79 241224099 3451617 430077 162779 200098354 501554539 21704 0 91619078 853228
BAY 321270 800172 94305 346694 346694 0 2197444 0 1LVBQ 81 81 247324951 3617175 422388 166726 199056309 494272321 25592 0 91363068 863072
BAY 321270 800172 94305 346534 346534 0 2060709 0 1LVBQ 83 84 240939227 3484763 444322 186904 209443849 510621129 23474 0 91858806 877956
BAY 321270 800172 94305 346572 346572 0 2113237 0 1LVBQ 80 80 241724318 3435712 442321 167962 199088393 495605300 19976 0 90046110 849418
BAY 321270 800172 94305 347003 347003 0 2661914 0 1LVBQ 80 80 253228370 3695529 411706 149521 198875482 512080023 21630 0 93066642 847885
BAY 321270 800172 94305 346633 346633 0 2341239 0 1LVBQ 79 79 246917590 3565698 425258 154582 199283845 506001445 21767 0 91578613 851060
BAY 321270 800172 94305 346663 346663 0 2404929 0 1LVBQ 80 80 248194097 3604913 427589 156633 199122799 503368092 20900 0 92294024 851497
BAY 321270 800172 94305 346603 346603 0 2067916 0 1LVBQ 80 80 240701651 3453032 439131 168985 198700783 493290506 19738 0 90510860 847681
BAY 321270 800172 94305 346428 346428 0 1968544 0 1LVBQ 80 80 241220043 3459793 439053 173789 199022546 493371459 21001 0 90713456 852858
BAY 321270 800172 94305 346414 346414 0 1904133 0 1LVBQ 81 81 240688803 3504468 422672 168119 197696763 486031441 24137 0 90515169 860463
BAY 321270 800172 94305 346950 346950 0 2244708 4719 2LVBQ 88 88 327788352 2564077 205244 94636 218755077 682575508 12725 0 128946633 703210
BAY 321270 800172 94305 346792 346792 0 2576277 5480 2LVBQ 91 92 340570662 2533175 202323 99809 225215346 706702636 9943 0 134016017 686038
BAY 321270 800172 94305 346613 346613 0 1954996 4128 2LVBQ 86 86 311076357 2652191 228199 114349 215707115 656771520 13121 0 121859592 691039
BAY 321270 800172 94305 346759 346759 0 2246995 4582 2LVBQ 89 89 327923477 2484849 218247 107074 218606520 675743138 10381 0 129343359 721522
BAY 321270 800172 94305 346187 346187 0 2217751 4420 2LVBQ 88 88 325327093 2464755 225688 103641 217787840 673148713 10561 0 127241185 724916
BAY 321270 800172 94305 346843 346843 0 1709183 3457 2LVBQ 85 85 300109161 2661802 242898 123249 212034921 625808240 16192 0 117497068 708471
BAY 321270 800172 94305 346780 346780 0 1734718 3501 2LVBQ 85 85 300987097 2627433 242866 123378 212591061 628159071 15055 0 117456664 711424
BAY 321270 800172 94305 346716 346716 0 2112528 4229 2LVBQ 87 87 321154121 2529121 221514 112543 218578611 673777912 13163 0 125015214 702687
BAY 321270 800172 94305 346808 346808 0 1710739 3441 2LVBQ 85 85 299310592 2658802 245716 122475 210861704 621939905 15430 0 116731443 712696
BAY 321270 800172 94305 346502 346502 0 2640773 5291 2LVBQ 93 93 343591129 2344188 218207 108482 231839026 722306511 9681 0 135594039 717064
BAY 321270 800172 94305 346695 346695 0 0 346695 3LVBQ 105 105 386684986 1827248 214715 91933 259290688 806930575 9776 0 144670854 869251
BAY 321270 800172 94305 346643 346643 0 0 346643 3LVBQ 105 105 391894614 1744842 207655 92888 260325071 818367576 9113 0 146724460 862231
BAY 321270 800172 94305 346885 346885 0 0 346885 3LVBQ 103 103 378506490 1789859 213531 93996 252922032 781224234 11986 0 140053175 841372
BAY 321270 800172 94305 346545 346545 0 0 346545 3LVBQ 107 107 396248160 1683094 219247 103322 260658152 811937467 8903 0 147466420 874466
BAY 321270 800172 94305 346621 346621 0 0 346621 3LVBQ 104 104 387140602 1761633 209096 85839 260464568 814338607 9712 0 144986242 860336
BAY 321270 800172 94305 346517 346517 0 0 346517 3LVBQ 103 103 377613170 1810448 226179 97721 252952597 783024183 11334 0 140184246 848443
BAY 321270 800172 94305 346614 346614 0 0 346614 3LVBQ 104 104 380574536 1824626 230007 104115 260196037 796256441 11642 0 141819806 864744
BAY 321270 800172 94305 346743 346743 0 0 346743 3LVBQ 105 105 387886992 1769713 212889 96913 260278056 808747259 8713 0 144227740 858058
BAY 321270 800172 94305 346830 346830 0 0 346830 3LVBQ 101 101 376073951 1828731 214492 90852 248991916 780137029 12080 0 140124392 840662
BAY 321270 800172 94305 346715 346715 0 0 346715 3LVBQ 106 106 394874944 1744078 209856 92065 260264909 818516107 9788 0 147589782 864936
BAY 321270 800172 94305 346452 346452 0 0 346452 4LVBQ 111 112 410498926 1689781 227314 105237 277051957 852563826 11604 0 150039754 902890
BAY 321270 800172 94305 346517 346517 0 0 346517 4LVBQ 114 114 423517168 1587936 211959 101338 281821025 873627717 9828 0 153629862 929086
BAY 321270 800172 94305 346977 346977 0 0 346977 4LVBQ 111 111 409364197 1692717 214261 95211 271975675 844857689 12097 0 149047696 889328
BAY 321270 800172 94305 346958 346958 0 0 346958 4LVBQ 110 110 409932361 1686389 204622 84861 268046987 845204045 11591 0 149248175 876872
BAY 321270 800172 94305 346465 346465 0 0 346465 4LVBQ 111 111 405692343 1767185 239457 102719 274448639 837046265 12301 0 147648238 899907
BAY 321270 800172 94305 346961 346961 0 0 346961 4LVBQ 111 111 412203904 1675840 200432 82508 271877719 850440289 11345 0 150141543 880732
BAY 321270 800172 94305 346461 346461 0 0 346461 4LVBQ 111 111 407191982 1725377 236294 104016 274144291 839159812 11514 0 148004985 892224
BAY 321270 800172 94305 346489 346489 0 0 346489 4LVBQ 114 114 423423121 1580034 217833 104727 282054426 881904859 9449 0 154333070 930719
BAY 321270 800172 94305 346681 346681 0 0 346681 4LVBQ 112 112 420375953 1592374 201549 80265 278420114 869610217 7748 0 153533121 921223
BAY 321270 800172 94305 346753 346753 0 0 346753 4LVBQ 111 111 412878260 1661720 220589 99473 276478526 858039725 10600 0 151026741 904514
